"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 20:52:20 GMT 2023","Sun Jun 25 20:52:21 GMT 2023","1298","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Sun Jun 25 20:52:22 GMT 2023","Sun Jun 25 20:52:23 GMT 2023","471","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Sun Jun 25 20:52:09 GMT 2023","Sun Jun 25 20:52:11 GMT 2023","2642","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Sun Jun 25 20:52:13 GMT 2023","Sun Jun 25 20:52:15 GMT 2023","1920","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Sun Jun 25 20:52:15 GMT 2023","Sun Jun 25 20:52:15 GMT 2023","613","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Sun Jun 25 20:52:18 GMT 2023","Sun Jun 25 20:52:19 GMT 2023","1072","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Sun Jun 25 20:52:15 GMT 2023","Sun Jun 25 20:52:18 GMT 2023","2530","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Sun Jun 25 20:52:19 GMT 2023","Sun Jun 25 20:52:20 GMT 2023","1067","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Sun Jun 25 20:52:23 GMT 2023","Sun Jun 25 20:52:23 GMT 2023","582","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Sun Jun 25 20:52:11 GMT 2023","Sun Jun 25 20:52:13 GMT 2023","1298","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"failed","Sun Jun 25 19:16:49 GMT 2023","Sun Jun 25 19:16:55 GMT 2023","5622","","Страница авторизации пользователя","","","","Test 1:Проверка, что при изменении данных в поле 'Фамилия имя' в разделе 'Редактирование профиля' изменения успешно сохраняются и верно отображаются",""
"passed","Sun Jun 25 20:52:21 GMT 2023","Sun Jun 25 20:52:22 GMT 2023","750","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"failed","Sun Jun 25 20:51:56 GMT 2023","Sun Jun 25 20:52:07 GMT 2023","10638","","Раздел профиль","","","","Test 1:Проверка, что если в разделе 'Редактирование профиля' оставить все поля пустыми и нажать сохранить,высветятся валидационные ошибки",""
